person_name,person_wikidata_id,person_description,role,organization,org_wikidata_id,start_year,end_year,viaf_id,isiscb_id,cb_viaf_id,match_method,match_source
Charlotte Sleigh,Q72453421,science humanities researcher,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2020,2022,233286057,CBA000095405,,name,position
James A. Secord,Q61944839,American British historian of science,President of the British Society for the History of Science,British Society for the History of Science,Q4971052,2022,,61637081,CBA000092600,http://viaf.org/viaf/61637081,viaf,position
Francis Butler,Q112666818,British historian of science (1894-1970),member/fellow,British Society for the History of Science,Q4971052,,,,,,,member
Martha Fleming,Q43761930,Canadian artist (born 1958),member/fellow,British Society for the History of Science,Q4971052,,,9134782,CBA014429159,http://viaf.org/viaf/9134782,viaf,member
Pamela H. Smith,Q28027754,historian of science,member/fellow,British Society for the History of Science,Q4971052,,,191150061,CBA000095915,http://viaf.org/viaf/191150061,viaf,member
Patrick J. Boner,Q101438764,historian of science,member/fellow,British Society for the History of Science,Q4971052,,,236459928,CBA000010736,,name,member
"Ḥilmī, ʿAbd al-Ḥāfiẓ,",Q111720597,Egyptian writer,member/fellow,British Society for the History of Science,Q4971052,,,160994554,,,,member
Nicola C Sugden,Q93240240,researcher (ORCID 0000-0002-3431-4652),staff/affiliated,British Society for the History of Science,Q4971052,,,,CBA607160275,,name,employer
Paul Pirlot,Q52108706,Canadian zoologist,member/fellow,Canadian Society for the History and Philosophy of Science,Q69891097,,,288818268,CBA000080230,,name,member
Barbara Maria Stafford,Q807549,American art historian (born 1941),member/fellow,History of Science Society,Q1621074,,,278498685,CBA000097482,,name,member
David Eugene Smith,Q1174369,American mathematician (1860–1944),member/fellow,History of Science Society,Q1621074,,,34463266,CBA000095698,http://viaf.org/viaf/34463266,viaf,member
David H. DeVorkin,Q94697777,American historian and museum curator,member/fellow,History of Science Society,Q1621074,,,94807495,CBA000025371,,name,member
David Marshall Miller,Q104214475,American philosophy professor,member/fellow,History of Science Society,Q1621074,,,302291300,CBA000069502,,name,member
Eduard Izrailevich Kolchinsky,Q75091241,"soviet, Russian philosopher, historian of science",member/fellow,History of Science Society,Q1621074,,,62608406,CBA000152797,,name,member
Edward Grant,Q1292395,American historian (1926–2020),member/fellow,History of Science Society,Q1621074,,,4956969,CBA000039358,http://viaf.org/viaf/4956969,viaf,member
Frederick Gregory,Q107232557,American historian of science,member/fellow,History of Science Society,Q1621074,,,112217868,CBA000039876,,name,member
Hans Gossen,Q19210145,German classical philologist and teacher,member/fellow,History of Science Society,Q1621074,,,215188004,,,,member
Helen H. Tanzer,Q21524820,American classical philologist and archaeologist (1876-1961),member/fellow,History of Science Society,Q1621074,,,7745234,,,,member
Jacques Grinevald,Q3159039,French academic & philosopher,member/fellow,History of Science Society,Q1621074,,,228702240,CBA000040212,,name,member
Joan Cadden,Q22958688,"American professor, writer",member/fellow,History of Science Society,Q1621074,,,267672541,CBA000015265,http://viaf.org/viaf/267672541,viaf,member
John C. Greene,Q15446688,American historian of science (1917-2008),member/fellow,History of Science Society,Q1621074,,,111071899,CBA000039742,http://viaf.org/viaf/111071899,viaf,member
Juan J. Morrone,Q22106555,Argentinean–Mexican evolutionary biologist,member/fellow,History of Science Society,Q1621074,,,9424880,CBA788057775,http://viaf.org/viaf/9424880,viaf,member
Leonard Gilchrist Wilson,Q59464867,Canadian-American historian of science,member/fellow,History of Science Society,Q1621074,,,19774639,CBA000110378,,name,member
Lynn K. Nyhart,Q22903610,American historian,member/fellow,History of Science Society,Q1621074,,,7531802,CBA000074936,,name,member
Marta E. Hanson,Q124640624,historian of medicine in East Asia,member/fellow,History of Science Society,Q1621074,,,71011972,CBA000042595,,name,member
Martha Fleming,Q43761930,Canadian artist (born 1958),member/fellow,History of Science Society,Q1621074,,,9134782,CBA014429159,http://viaf.org/viaf/9134782,viaf,member
Michele L. Aldrich,Q59419535,historian of geology,member/fellow,History of Science Society,Q1621074,,,54317142,CBA000001163,,name,member
Owen Gingerich,Q1202177,American astronomer (1930–2023),member/fellow,History of Science Society,Q1621074,,,274876596,CBA000037310,http://viaf.org/viaf/274876596,viaf,member
Pamela H. Smith,Q28027754,historian of science,member/fellow,History of Science Society,Q1621074,,,191150061,CBA000095915,http://viaf.org/viaf/191150061,viaf,member
Patrick J. Boner,Q101438764,historian of science,member/fellow,History of Science Society,Q1621074,,,236459928,CBA000010736,,name,member
Peggy A. Kidwell,Q70093637,Curator of Mathematics at the National Museum of American History,member/fellow,History of Science Society,Q1621074,,,17295714,CBA000053579,,name,member
Peter K. Machamer,Q16847586,American philosopher and historian of science,member/fellow,History of Science Society,Q1621074,,,5085732,CBA000063260,,name,member
Philip J. Pauly,Q7183828,American historian (1950–2008),member/fellow,History of Science Society,Q1621074,,,27248002,CBA000077964,,name,member
Raz Chen-Morris,Q95339378,Israeli historian,member/fellow,History of Science Society,Q1621074,,,97731128,CBA000018365,,name,member
Stephen Brush,Q1763302,American physicist,member/fellow,History of Science Society,Q1621074,,,79047084,CBA000013852,http://viaf.org/viaf/79047084,viaf,member
William Harris Stahl,Q2446176,American historian (1908-1969),member/fellow,History of Science Society,Q1621074,,,17269983,CBA000097518,,name,member
Robert J. Malone,Q114861116,science historian,staff/affiliated,History of Science Society,Q1621074,,,,CBA000064200,,name,employer
Aage Gerhardt Drachmann,Q15377187,Danish ancient historian and librarian (1891-1980),member/fellow,International Academy of the History of Science,Q337449,,,97780650,CBA000140470,,name,member
Abel Rey,Q2821533,French philosopher (1873-1940),member/fellow,International Academy of the History of Science,Q337449,,,16531,CBA117927302,http://viaf.org/viaf/1653145857004422920822,viaf,member
Abraham Seidenberg,Q330593,American mathematician (1916–1988),member/fellow,International Academy of the History of Science,Q337449,,,73918176,CBA000092812,,name,member
Adalberto Pazzini,Q16524609,Italian physician,member/fellow,International Academy of the History of Science,Q337449,,,22280122,CBA000078097,,name,member
Adolphe Rome,Q365804,Belgian historian of science (1889–1971),member/fellow,International Academy of the History of Science,Q337449,,,64089809,,,,member
Agustín Jesús Barreiro Martínez,Q25421945,Spanish biologist (1865-1937),member/fellow,International Academy of the History of Science,Q337449,,,39743006,,,,member
Aldo Mieli,Q2885857,Italian historian of science,member/fellow,International Academy of the History of Science,Q337449,,,24640580,CBA000069234,,name,member
Aleksander Birkenmajer,Q824471,Polish historian of exact sciences and philosophy (1890-1967),member/fellow,International Academy of the History of Science,Q337449,,,20425546,CBA000009365,,name,member
Alexander Gelfond,Q716017,Russian mathematician (1906–1968),member/fellow,International Academy of the History of Science,Q337449,,,101651,CBA945311008,http://viaf.org/viaf/10165135922500302888,viaf,member
Alexandre Koyré,Q319243,French philosopher (1892–1964),member/fellow,International Academy of the History of Science,Q337449,,,100191727,CBA000055698,http://viaf.org/viaf/100191727,viaf,member
Alfonso Maierù,Q3611196,Italian philosopher and university teacher (1939–2011),member/fellow,International Academy of the History of Science,Q337449,,,59097583,CBA000063873,,name,member
Alfred Kastler,Q71023,French physicist (1902–1984),member/fellow,International Academy of the History of Science,Q337449,,,9848471,CBA000052374,,name,member
Alfred Rupert Hall,Q2176530,British historian of science (1920–2009),member/fellow,International Academy of the History of Science,Q337449,,,102334314,CBA000041882,http://viaf.org/viaf/102334314,viaf,member
Alistair Cameron Crombie,Q1375992,"Australian zoologist, historian of science (1915-1996)",member/fellow,International Academy of the History of Science,Q337449,,,97752006,CBA000022173,,name,member
Allen G. Debus,Q24292,American historian of science (1926-2009),member/fellow,International Academy of the History of Science,Q337449,,,29559673,CBA000024169,http://viaf.org/viaf/29559673,viaf,member
Aly Mazahéri,Q16889631,"French-Iranian iranologue, sociologist, and historian (1914-1991)",member/fellow,International Academy of the History of Science,Q337449,,,29537777,CBA000066663,,name,member
Amedeo Agostini,Q3613870,Italian mathematician (1892-1958),member/fellow,International Academy of the History of Science,Q337449,,,27058328,,,,member
Andrea Corsini,Q16657901,Italian physician and historian of science (1875-1961),member/fellow,International Academy of the History of Science,Q337449,,,88750471,CBA000021285,,name,member
Andrey Kolmogorov,Q153224,Russian mathematician (1903–1987),member/fellow,International Academy of the History of Science,Q337449,,,36980195,,,,member
André Weil,Q323232,French mathematician (1906-1998),member/fellow,International Academy of the History of Science,Q337449,,,108578091,CBA000108254,,name,member
